avg_distance,avg_time,elitism_ratio,max_distance,min_distance,mutation_rate,num_generations,pop_size,std_distance
10692.953153922736,0.7022186120351156,0.1,11359.30158313968,9551.588616089259,0.01,300,50,810.8377438980236
8888.00627599808,2.37923526763916,0.1,9346.723891567053,8260.22090384739,0.02,500,100,459.3909847596197
7457.286978828506,5.167866150538127,0.2,7658.692464458275,7329.735334960925,0.05,800,150,144.09254137315088
