avg_distance,avg_time,elitism_ratio,max_distance,min_distance,mutation_rate,num_generations,pop_size,std_distance
31529.047964452027,0.7495288848876953,0.1,33268.62386641106,29593.425094055616,0.01,300,50,1506.784062046462
30514.284399818363,2.51289431254069,0.1,31329.33663120793,29722.333441558363,0.02,500,100,656.2596358663372
27650.352375707454,5.65921934445699,0.2,27748.709578134854,27601.17377449375,0.05,800,150,69.54904481495414
