avg_distance,avg_time,elitism_ratio,max_distance,min_distance,mutation_rate,num_generations,pop_size,std_distance
53821.34319248827,8.122824112574259,0.1,53907.54918752869,53708.225975682675,0.01,300,50,83.56871858067174
44891.44380874141,29.239842017491657,0.1,46382.846819371676,43068.55956146053,0.02,500,100,1373.2042491138757
32850.75319159663,72.40616369247437,0.2,32991.20115925292,32719.801921390397,0.05,800,150,111.00158264617528
